Principal Component,Explained Variance,Cumulative Variance
PC1,0.2804191,0.2804191
PC2,0.12382198,0.40424109
PC3,0.09746183,0.5017029
PC4,0.07781977,0.57952267
PC5,0.06269411,0.6422168
PC6,0.056269277,0.6984861
PC7,0.05037317,0.7488593
PC8,0.046629936,0.7954892
PC9,0.037788875,0.83327806
PC10,0.036461793,0.86973983
PC11,0.03358738,0.9033272
PC12,0.030833887,0.9341611
PC13,0.021718953,0.9558801
PC14,0.018033536,0.97391367
PC15,0.009482632,0.9833963
PC16,0.008228137,0.9916244
PC17,0.005234974,0.9968594
PC18,0.0016642297,0.9985236
PC19,0.00077708013,0.99930066
PC20,0.0005681114,0.99986875
PC21,0.0001312206,1.0
