Flow IAT Mean,Bwd Packet Length Max,Flow Duration,Flow Packets/s,Init_Win_bytes_forward,Bwd Packets/s,Packet Length Variance,Bwd IAT Total,Packet Length Mean,Fwd IAT Min,Total Length of Fwd Packets,Bwd IAT Max,Packet_Balance,Flow IAT Min,Traffic_Ratio,Fwd Packet Length Max,Flow Bytes/s,Total Fwd Packets,Fwd IAT Mean,Init_Win_bytes_backward,Flow IAT Std,Actual_Label,Predicted_Label
-0.0083447825,-0.03300254,-0.001765442,10.029266,0.005610098,210.53552,-0.002146476,-0.00013862216,-0.116864376,-0.0625,-0.30395138,-0.00022246916,-9.9997e-06,1.4285715,-0.38353312,-0.1625,-0.051480275,-0.4,-0.0010448257,0.63829786,-0.0018273474,DoS slowloris,BENIGN
0.82515585,0.63535655,1.194757,-0.011854392,0.004608295,-0.01624098,0.4221634,9.648151,0.7776665,-0.041666668,6.93617,15.47495,0.6666637,-0.06122449,-0.082678735,1.075,-0.043396235,1.8,0.8788793,0.5319149,1.1328901,DoS Hulk,BENIGN
0.2651212,-0.03300254,0.057121128,-0.011634053,1.5910639,-0.014505745,-0.002140888,-0.00013862216,-0.113485165,20.833334,-0.2674772,-0.00022246916,3.99989,2.510204,1757383.4,-0.14375,-0.05133925,0.0,0.2371423,123.78723,0.14775826,DoS slowloris,BENIGN
0.17913432,0.30117702,0.13280728,-0.011573634,5.8002405,-0.009442298,0.16639833,32.922623,0.37746254,7.8125,1.7872341,29.79159,-0.33332112,0.040816326,-0.097698614,1.9875,-0.029814845,0.4,0.1521332,0.54042554,0.12417463,DoS GoldenEye,BENIGN
-0.006085522,-0.03300254,-0.0016032814,0.041726314,-0.05029052,1.1075187,-0.002140267,-0.00013862216,-0.111232355,-0.0625,-0.2857143,-0.00022246916,-9.9997e-06,282.5306,878691.5,-0.14375,-0.026011113,-0.4,-0.0010448257,0.5319149,-0.0018273474,DoS Hulk,BENIGN
0.03750884,0.7802908,0.083827205,-0.010551424,5.8002405,0.0059531196,0.55206764,20.996027,0.7275361,0.9583333,6.492401,23.181124,0.9090846,0.8979592,-0.15856805,1.15,0.08428767,2.6,0.0136038195,0.7106383,0.050458852,DoS slowloris,BENIGN
-0.008232427,-0.03300254,-0.0017573775,0.9670526,0.03185734,-0.01762073,-0.002146476,-0.00013862216,-0.116864376,15.75,-0.30395138,-0.00022246916,399992.0,15.408163,-0.38353312,-0.1625,-0.051480275,-0.2,-0.00097253994,-0.4680851,-0.0018273474,DoS Hulk,BENIGN
-0.00832182,-0.03300254,-0.0017637938,3.4602587,0.0004007213,-0.01762073,-0.002146476,-0.00013862216,-0.10841635,4.3958335,-0.2674772,-0.00022246916,399992.0,4.285714,1757383.4,-0.14375,3.244753,-0.2,-0.0010244447,-0.4680851,-0.0018273474,DoS slowloris,BENIGN
-0.006715372,-0.03300254,-0.0015306658,0.043752946,0.013624524,-0.01762073,-0.0021418193,-0.00013862216,-0.11475237,20.354166,-0.2857143,-0.00022246916,599989.0,19.918367,878691.5,-0.14375,-0.03385952,0.0,-9.168255e-05,-0.4680851,-0.0011658164,DoS Hulk,BENIGN
-0.007980955,0.4202631,-0.0015774162,0.17331001,5.8002405,2.8956106,0.21684279,0.028128745,0.2460879,30.333334,0.7781155,0.02556078,1.3333123,1.4081633,-0.118076324,0.95,8.448124,0.4,-0.0006628018,0.5319149,-0.0017114709,DoS Slowhttptest,BENIGN
1.043908,-0.031617817,1.2066705,-0.011869626,5.8002405,-0.017165348,0.008440216,297.4599,0.12969285,1.125,9.258359,329.06873,7.3332024,1.0816326,767.49426,0.73125,-0.04967519,2.2,0.7509343,-0.4680851,0.6821119,DoS slowloris,BENIGN
0.03939775,0.209093,0.059931144,-0.010584185,5.8002405,0.012110398,0.04723396,15.13416,0.17916857,0.020833334,3.6717324,23.197739,-0.1999888,0.0,0.27768478,1.0,-0.004313688,1.2,0.0022004729,0.63829786,0.058660056,DoS slowloris,BENIGN
