Model,Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro),Train Time (s),Inference Time (s)
Decision Tree,0.9988,0.9949,0.9925,0.9937,19.05,0.02
KNN,0.996,0.9908,0.9914,0.9911,2.72,850.51
Random Forest,0.999,0.9965,0.9129,0.9408,58.86,0.28
Extra Trees,0.9811,0.9925,0.8813,0.9225,13.87,0.29
XGBoost,0.9981,0.8297,0.8247,0.8272,14.79,0.47
LightGBM,0.9984,0.8275,0.8221,0.8247,17.03,0.79
HistGradientBoosting,0.9965,0.8211,0.8192,0.82,9.32,0.93
CatBoost,0.9892,0.8088,0.7576,0.7815,22.5,0.18
AdaBoost,0.9446,0.627,0.449,0.492,61.38,0.31
Logistic Regression,0.6428,0.2755,0.2348,0.2331,100.68,0.06
Naive Bayes,0.0615,0.4446,0.3759,0.2196,0.33,0.15
