Feature,Label,mean,median,std,min,max
Destination Port,BENIGN,9366.5134,80.0,19384.0657,0.0,65487.0
Destination Port,DoS GoldenEye,80.0,80.0,0.0,80.0,80.0
Destination Port,DoS Hulk,80.0,80.0,0.0,80.0,80.0
Destination Port,DoS Slowhttptest,80.0,80.0,0.0,80.0,80.0
Destination Port,DoS slowloris,80.0,80.0,0.0,80.0,80.0
Destination Port,Heartbleed,444.0,444.0,0.0,444.0,444.0
Flow Duration,BENIGN,12765913.7554,33208.0,32050844.2416,-1.0,119999998.0
Flow Duration,DoS GoldenEye,23121053.3436,11588703.0,27343198.7242,649.0,119634581.0
Flow Duration,DoS Hulk,76310925.0882,86401812.0,36927841.7789,1.0,119968626.0
Flow Duration,DoS Slowhttptest,60668752.821,63120444.0,34910291.7107,1.0,119800736.0
Flow Duration,DoS slowloris,60831953.2676,99999406.0,48755836.6036,2.0,119046064.0
Flow Duration,Heartbleed,110679707.5455,119261118.0,28509726.6736,24719667.0,119302728.0
Total Fwd Packets,BENIGN,12.4536,2.0,963.2281,1.0,203943.0
Total Fwd Packets,DoS GoldenEye,5.9071,7.0,3.0077,2.0,21.0
Total Fwd Packets,DoS Hulk,6.3633,6.0,2.0249,1.0,16.0
Total Fwd Packets,DoS Slowhttptest,5.9824,7.0,3.2374,1.0,23.0
Total Fwd Packets,DoS slowloris,6.743,3.0,5.7668,1.0,16.0
Total Fwd Packets,Heartbleed,2583.7273,2792.0,662.0937,590.0,2805.0
Total Backward Packets,BENIGN,14.411,2.0,1268.8443,0.0,272353.0
Total Backward Packets,DoS GoldenEye,3.7166,5.0,2.4205,0.0,9.0
Total Backward Packets,DoS Hulk,5.6202,6.0,1.8709,0.0,11.0
Total Backward Packets,DoS Slowhttptest,0.9556,0.0,1.3087,0.0,12.0
Total Backward Packets,DoS slowloris,1.7055,2.0,1.296,0.0,11.0
Total Backward Packets,Heartbleed,1897.1818,2069.0,497.1436,436.0,2130.0
Total Length of Fwd Packets,BENIGN,733.9353,70.0,7935.5336,0.0,1224076.0
Total Length of Fwd Packets,DoS GoldenEye,418.7148,377.0,526.4885,0.0,6910.0
Total Length of Fwd Packets,DoS Hulk,376.0923,354.0,243.4512,0.0,3489.0
Total Length of Fwd Packets,DoS Slowhttptest,435.6396,0.0,1096.9966,0.0,5720.0
Total Length of Fwd Packets,DoS slowloris,871.8318,16.0,1165.8846,0.0,3146.0
Total Length of Fwd Packets,Heartbleed,12509.7273,12264.0,3590.8102,7442.0,20858.0
Total Length of Bwd Packets,BENIGN,23582.717,154.0,2889197.2059,0.0,627000000.0
Total Length of Bwd Packets,DoS GoldenEye,6565.7823,4154.0,5202.8764,0.0,11680.0
Total Length of Bwd Packets,DoS Hulk,10388.4569,11595.0,3540.4064,0.0,13043.0
Total Length of Bwd Packets,DoS Slowhttptest,118.3697,0.0,495.5002,0.0,12777.0
Total Length of Bwd Packets,DoS slowloris,21.888,0.0,279.483,0.0,14556.0
Total Length of Bwd Packets,Heartbleed,7276360.6364,7878135.0,1872960.0897,1636683.0,7882432.0
Fwd Packet Length Max,BENIGN,245.4242,42.0,764.0761,0.0,24820.0
Fwd Packet Length Max,DoS GoldenEye,313.8185,370.0,198.7246,0.0,791.0
Fwd Packet Length Max,DoS Hulk,311.213,345.0,108.559,0.0,508.0
Fwd Packet Length Max,DoS Slowhttptest,161.9403,0.0,255.5634,0.0,1983.0
Fwd Packet Length Max,DoS slowloris,101.4206,8.0,113.2761,0.0,467.0
Fwd Packet Length Max,Heartbleed,4522.6364,5792.0,1877.8165,517.0,5792.0
Fwd Packet Length Min,BENIGN,21.9118,6.0,42.3569,0.0,2065.0
Fwd Packet Length Min,DoS GoldenEye,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Min,DoS Hulk,0.2749,0.0,1.2544,0.0,6.0
Fwd Packet Length Min,DoS Slowhttptest,38.091,0.0,176.4954,0.0,1983.0
Fwd Packet Length Min,DoS slowloris,4.7669,0.0,26.6305,0.0,239.0
Fwd Packet Length Min,Heartbleed,0.0,0.0,0.0,0.0,0.0
Fwd Packet Length Mean,BENIGN,70.21029663085938,39.0,194.10079956054688,0.0,4640.7578125
Fwd Packet Length Mean,DoS GoldenEye,59.48540115356445,52.563499450683594,56.324100494384766,0.0,422.3077087402344
Fwd Packet Length Mean,DoS Hulk,59.36389923095703,53.83330154418945,34.67100143432617,0.0,317.25
Fwd Packet Length Mean,DoS Slowhttptest,79.72460174560547,0.0,186.1571044921875,0.0,1983.0
Fwd Packet Length Mean,DoS slowloris,67.18219757080078,8.0,79.79460144042969,0.0,239.0
Fwd Packet Length Mean,Heartbleed,5.391499996185303,4.888400077819824,2.6403000354766846,3.09089994430542,12.61359977722168
Fwd Packet Length Std,BENIGN,79.91829681396484,0.0,285.1390075683594,0.0,6429.19091796875
Fwd Packet Length Std,DoS GoldenEye,128.6134033203125,142.48199462890625,87.66790008544922,0.0,509.1169128417969
Fwd Packet Length Std,DoS Hulk,128.42320251464844,134.55540466308594,50.403099060058594,0.0,244.2191925048828
Fwd Packet Length Std,DoS Slowhttptest,58.892601013183594,0.0,99.87629699707031,0.0,1397.9500732421875
Fwd Packet Length Std,DoS slowloris,44.43579864501953,0.0,52.542999267578125,0.0,221.2779998779297
Fwd Packet Length Std,Heartbleed,100.27269744873047,110.12079620361328,57.38169860839844,16.858400344848633,238.7086944580078
Bwd Packet Length Max,BENIGN,433.1156,96.0,833.0114,0.0,19530.0
