Feature,Mean,Median,Min,Max,Skewness,Kurtosis,Outlier_Count,Outlier_Percentage
Destination Port,6419.196,80.0,0.0,65487.0,2.3744,3.8624,81765,13.39
Flow Duration,31767575.8767,150031.5,-1.0,119999998.0,0.8258,-1.1575,0,0.0
Total Fwd Packets,10.5596,3.0,1.0,203943.0,229.2826,54116.3157,42786,7.01
Total Backward Packets,11.5485,2.0,0.0,272353.0,230.5717,54996.4678,40418,6.62
Total Length of Fwd Packets,626.1837,100.0,0.0,1224076.0,113.2067,16949.2453,64359,10.54
Total Length of Bwd Packets,19282.2882,250.0,0.0,627000000.0,228.5252,53667.9644,10046,1.65
Fwd Packet Length Max,263.295,52.0,0.0,24820.0,8.9091,122.4331,25279,4.14
Fwd Packet Length Min,15.4036,0.0,0.0,2065.0,24.4109,892.4696,3186,0.52
Fwd Packet Length Mean,67.01229858398438,43.75,0.0,4640.7578,8.903800010681152,91.54889678955078,58132,9.52
Fwd Packet Length Std,93.97899627685547,3.4641,0.0,6429.1909,8.819100379943848,107.30960083007812,20905,3.42
Bwd Packet Length Max,1883.7527,143.0,0.0,19530.0,1.3189,0.6784,2682,0.44
Bwd Packet Length Min,36.9014,0.0,0.0,1983.0,4.808,71.7353,29221,4.79
Bwd Packet Length Mean,624.7517700195312,127.0,0.0,4370.6865,1.017199993133545,-0.5940999984741211,1,0.0
Bwd Packet Length Std,747.2910766601562,0.0,0.0,6715.7383,1.5400999784469604,1.833799958229065,7759,1.27
Flow Bytes/s,1612815.0,875.7706,-12000000.0,2070000000.0,38.42509841918945,inf,136496,22.36
Flow Packets/s,36094.44921875,32.1141,-2000000.0,3000000.0,7.798699855804443,74.36080169677734,137667,22.55
Flow IAT Mean,2835165.75,50949.5,-1.0,120000000.0,7.090199947357178,91.07769775390625,10181,1.67
Flow IAT Std,7765804.5,35267.7305,0.0,84800000.0,1.3894000053405762,1.1601999998092651,3329,0.55
Flow IAT Max,25971026.804,117624.5,-1.0,120000000.0,1.0768,-0.7092,0,0.0
Flow IAT Min,247848.605,4.0,-14.0,120000000.0,21.1218,495.1888,106821,17.5
Fwd IAT Total,31476110.5881,30627.0,0.0,120000000.0,0.8342,-1.147,0,0.0
Fwd IAT Mean,5747081.5,10970.666,0.0,120000000.0,4.582099914550781,31.528200149536133,13915,2.28
Fwd IAT Std,10230903.0,2987.5161,0.0,83700000.0,1.2659000158309937,-0.10090000182390213,16417,2.69
Fwd IAT Max,25863626.8038,30140.0,0.0,120000000.0,1.0783,-0.7072,0,0.0
Fwd IAT Min,1164735.78,3.0,-8.0,120000000.0,9.3141,90.9779,137230,22.48
Bwd IAT Total,15730721.6005,48.0,0.0,120000000.0,1.9744,2.1499,135604,22.21
Bwd IAT Mean,3003202.75,48.0,0.0,120000000.0,6.257299900054932,49.49810028076172,133939,21.94
Bwd IAT Std,3997286.5,0.0,0.0,82900000.0,3.0227999687194824,8.34630012512207,125464,20.55
Bwd IAT Max,10558038.9737,48.0,0.0,120000000.0,2.5946,5.0892,135348,22.17
Bwd IAT Min,1051340.6387,4.0,0.0,120000000.0,9.6887,100.8476,72624,11.9
Fwd PSH Flags,0.0433,0.0,0.0,1.0,4.4856,18.121,26456,4.33
Fwd Header Length,266.1634,80.0,-11.0,4290372.0,229.7546,54472.4545,29376,4.81
Bwd Header Length,281.7272,64.0,0.0,5447060.0,230.3763,54933.924,31268,5.12
Fwd Packets/s,32077.60546875,16.3004,0.0,3000000.0,8.136500358581543,78.65499877929688,139931,22.92
Bwd Packets/s,4085.64208984375,1.1309,0.0,2000000.0,27.82110023498535,1102.2440185546875,119135,19.51
Min Packet Length,14.6522,0.0,0.0,1448.0,16.3022,625.9085,2711,0.44
Max Packet Length,1954.8962,167.0,0.0,24820.0,1.2759,0.6294,2766,0.45
Packet Length Mean,313.9378967285156,83.0,0.0,2279.7544,0.9397000074386597,-0.6830999851226807,92,0.02
Packet Length Std,592.8275756835938,64.4094,0.0,4364.0225,1.1787999868392944,0.20489999651908875,791,0.13
Packet Length Variance,1006681.0,4148.5713,0.0,19000000.0,2.476300001144409,8.00469970703125,30130,4.94
FIN Flag Count,0.1047,0.0,0.0,1.0,2.5829,4.6715,63895,10.47
SYN Flag Count,0.0433,0.0,0.0,1.0,4.4856,18.121,26456,4.33
RST Flag Count,0.0004,0.0,0.0,1.0,51.0484,2603.9406,234,0.04
PSH Flag Count,0.2198,0.0,0.0,1.0,1.3536,-0.1679,134161,21.98
ACK Flag Count,0.3657,0.0,0.0,1.0,0.5577,-1.689,0,0.0
URG Flag Count,0.0729,0.0,0.0,1.0,3.2864,8.8003,44491,7.29
ECE Flag Count,0.0004,0.0,0.0,1.0,50.9396,2592.8387,235,0.04
Down/Up Ratio,0.6093,1.0,0.0,43.0,3.2996,171.2664,1845,0.3
Average Packet Size,344.45159912109375,109.7947,0.0,2612.0,0.9865000247955322,-0.4449999928474426,473,0.08
Avg Fwd Segment Size,67.01229858398438,43.75,0.0,4640.7578,8.903800010681152,91.54889678955078,58132,9.52
Avg Bwd Segment Size,624.7517700195312,127.0,0.0,4370.6865,1.017199993133545,-0.5940999984741211,1,0.0
Fwd Header Length.1,266.1634,80.0,-11.0,4290372.0,229.7546,54472.4545,29376,4.81
Subflow Fwd Packets,10.5596,3.0,1.0,203943.0,229.2826,54116.3157,42786,7.01
Subflow Fwd Bytes,626.1837,100.0,0.0,1224076.0,113.2067,16949.2453,64359,10.54
Subflow Bwd Packets,11.5485,2.0,0.0,272353.0,230.5717,54996.4678,40418,6.62
Subflow Bwd Bytes,19280.5272,250.0,0.0,627046409.0,228.5358,53673.1555,10046,1.65
Init_Win_bytes_forward,5920.571,251.0,-1.0,65535.0,2.5148,6.7724,96112,15.74
Init_Win_bytes_backward,1670.9858,110.0,-1.0,65535.0,6.1556,41.1935,51687,8.47
act_data_pkt_fwd,6.9018,1.0,0.0,197124.0,229.2408,54010.6659,93663,15.34
min_seg_size_forward,26.328,32.0,-1.0,60.0,0.1305,-1.3848,386,0.06
Active Mean,104666.78125,0.0,0.0,100000000.0,19.76849937438965,1164.8516845703125,130252,21.34
Active Std,54019.66015625,0.0,0.0,74200000.0,36.684898376464844,3455.418701171875,44539,7.3
Active Max,184650.9451,0.0,0.0,105000000.0,19.7848,928.6846,130253,21.34
Active Min,71656.1084,0.0,0.0,100000000.0,22.5923,1654.2276,127494,20.88
Idle Mean,25088104.0,0.0,0.0,120000000.0,1.1146999597549438,-0.6276999711990356,0,0.0
Idle Std,538255.25,0.0,0.0,76900000.0,11.049400329589844,128.6049041748047,50833,8.33
Idle Max,25553907.3076,0.0,0.0,120000000.0,1.0856,-0.6957,0,0.0
Idle Min,24659783.9437,0.0,0.0,120000000.0,1.1437,-0.5763,0,0.0
